job,firm,functional_area,type
"Senior Consultant, Transaction Advisory Services | Corporate Finance & Restructuring",FTI Consulting,Corporate Finance Restructuring Finance,Job
Strategy& - Strategy Senior Manager I Dublin,PwC,Strategy,Job
Commercial & Procurement Specialist,PA Consulting,Procurement,Job
AWS DevOps Engineer,PA Consulting,Software,Job
HR Business Partner (15 month FTC maternity cover),FTI Consulting,Human Resources,Job
Financial Services - Advisory | Senior Manager | Dublin or Cork,PwC,Unknown,Job
Content Designer - Digital Factory (London/Manchester/Glasgow),Capgemini Invent,Digital,Job
"Operations, Project Delivery & Customer Service Specialist - Advisory Operate - Dublin/Cork, Ireland",PwC,Unknown,Job
AWS Engineer,PA Consulting,Unknown,Job
Senior Director | Sustainability Communications | Strategic Communications | London,FTI Consulting,Unknown,Job
Management Consultant -Retail Commercial Transformation - London/Manchester/Glasgow,Capgemini Invent,Management,Job
Full Stack Engineer Consultant (London/Manchester/Glasgow),Capgemini Invent,Unknown,Job
AWS Data Engineer,PA Consulting,Data Science,Job
Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork,PwC,IT Strategy,Job
Executive Assistant (9-month Fixed Term Maternity Contract) | Financial & Professional Services | Strategic Communications ,FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma,Job
QA Engineer,PA Consulting,Unknown,Job
Technology Consulting | Senior Associate | Advisory | Dublin/Cork,PwC,IT Strategy,Job
Senior Legal Counsel | Legal & Risk | Core Operations,FTI Consulting,Risk & Compliance,Job
GCP Cloud Architect,PA Consulting,Cloud,Job
"Technology Consulting | Senior Associate, Manager & Senior Manager | Advisory | Cork",PwC,IT Strategy,Job
Legal Counsel (12 month FTC)| Legal & Risk | Core Operations,FTI Consulting,Risk & Compliance,Job
Sustainable Finance Regulation Implementation | Manager Consulting | Dublin or Cork,PwC,Finance,Job
DevOps Engineer,PA Consulting,Software,Job
"Director, Forensic Accounting Advisory Services | Forensic and Litigation Consulting",FTI Consulting,Forensic & Litigation,Job
Supply Chain Senior Manager | Advisory Consulting | Dublin/Cork,PwC,Supply Chain,Job
